Incident ID,Severity,Status,Threat Score,Suspect Process,Event Timestamp,Event Type,File Path,Extension,Old Path
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.281541,MODIFY,data\sandbox\rapid_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.372976,CREATE,data\sandbox\rapid_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.383938,MODIFY,data\sandbox\rapid_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.495300,CREATE,data\sandbox\rapid_3.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.525357,MODIFY,data\sandbox\rapid_3.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.599802,CREATE,data\sandbox\rapid_4.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.609615,MODIFY,data\sandbox\rapid_4.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.699853,CREATE,data\sandbox\rapid_5.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.710656,MODIFY,data\sandbox\rapid_5.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:39.942544,MODIFY,data\sandbox\rapid_5.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:41.369341,MODIFY,data\sandbox\rapid_4.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:42.239082,MODIFY,data\sandbox\rapid_3.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:42.651723,MODIFY,data\sandbox\rapid_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:42.667643,MODIFY,data\sandbox\rapid_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:42.682747,MODIFY,data\sandbox\rapid_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:50.609734,CREATE,data\sandbox\massrename_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.625149,MODIFY,data\sandbox\massrename_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.668374,RENAME,data\sandbox\massrename_0.demo.txt,.txt,data\sandbox\massrename_0.txt
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.681386,CREATE,data\sandbox\massrename_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.692251,MODIFY,data\sandbox\massrename_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.708758,RENAME,data\sandbox\massrename_1.demo.txt,.txt,data\sandbox\massrename_1.txt
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.724740,CREATE,data\sandbox\massrename_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.739568,MODIFY,data\sandbox\massrename_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:51.750134,RENAME,data\sandbox\massrename_2.demo.txt,.txt,data\sandbox\massrename_2.txt
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:54.646053,MODIFY,data\sandbox\massrename_2.demo.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.082264,MODIFY,data\sandbox\massrename_1.demo.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.095533,MODIFY,data\sandbox\massrename_0.demo.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.112047,MODIFY,data\sandbox\rapid_5.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.379259,MODIFY,data\sandbox\rapid_4.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.410629,MODIFY,data\sandbox\rapid_3.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.427969,MODIFY,data\sandbox\rapid_2.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.461676,MODIFY,data\sandbox\rapid_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:55.495409,MODIFY,data\sandbox\rapid_0.txt,.txt,
