Incident ID,Severity,Status,Threat Score,Suspect Process,Event Timestamp,Event Type,File Path,Extension,Old Path
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:27:52.097891,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:27:55.507756,MODIFY,data\sandbox\normal_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:27:55.519430,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:16.391142,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:16.454153,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:17.393449,MODIFY,data\sandbox\normal_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:17.421452,MODIFY,data\sandbox\normal_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:19.739233,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:20.202747,MODIFY,data\sandbox\normal_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:23.213019,MODIFY,data\sandbox\normal_1.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:23.481436,MODIFY,data\sandbox\normal_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.168731,CREATE,data\sandbox\rapid_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.219707,MODIFY,data\sandbox\rapid_0.txt,.txt,
50,CRITICAL,OPEN,70.0,RDRS monitored activity,2026-09-09T12:28:37.271724,CREATE,data\sandbox\rapid_1.txt,.txt,
